Datetime,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg
25/08/2013 1:00,,0,,3.2,SSE
25/08/2013 2:00,,0,,1.3,SSE
25/08/2013 3:00,,0,,2.5,SSE
25/08/2013 4:00,,0,,1.4,SSE
25/08/2013 5:00,,0,,1,S
25/08/2013 6:00,,0,,2.9,S
25/08/2013 7:00,,0,,3,S
25/08/2013 8:00,,1.5,,1.7,SSE
25/08/2013 9:00,,0,,1.1,S
25/08/2013 10:00,,0.5,,0.6,S
25/08/2013 11:00,,1.5,,1.5,ENE
25/08/2013 12:00,,0,,1.2,NNE
25/08/2013 13:00,,0,,1.3,ENE
25/08/2013 14:00,,0,,0.7,W
25/08/2013 15:00,,0,,1.7,SW
25/08/2013 16:00,,0,,1.1,SE
25/08/2013 17:00,,0,,1.1,W
25/08/2013 18:00,,0,,1.5,ESE
25/08/2013 19:00,,0,,0,0
25/08/2013 20:00,,0,,2.2,NE
25/08/2013 21:00,,0,,2,NNE
25/08/2013 22:00,,0,,2.2,N
25/08/2013 23:00,,0,,1.9,NNW
26/08/2013 0:00,,0,,1.5,NNW
26/08/2013 1:00,,0,,1.2,NE
26/08/2013 2:00,,0,,1.1,NNE
26/08/2013 3:00,,0,,1.6,N
26/08/2013 4:00,,0,,2.3,NNW
26/08/2013 5:00,,0,,2.4,NNE
26/08/2013 6:00,,0,,1.5,NE
26/08/2013 7:00,,0,,2.1,NNW
26/08/2013 8:00,,0,,2.7,NNW
26/08/2013 9:00,,0,,1.6,NE
26/08/2013 10:00,,0,,1.7,NNW
26/08/2013 11:00,,0,,1.3,SSW
26/08/2013 12:00,,0,,2.7,SSE
26/08/2013 13:00,,0,,3.3,SSE
26/08/2013 14:00,,0,,3.3,S
26/08/2013 15:00,,0,,3.5,SSE
26/08/2013 16:00,,0,,5,SSE
26/08/2013 17:00,,0,,4.3,SE
26/08/2013 18:00,,0,,4.5,SSE
26/08/2013 19:00,,0,,5.7,SSE
26/08/2013 20:00,,0,,4.4,SE
26/08/2013 21:00,,0,,3.2,SE
26/08/2013 22:00,,0,,2.5,SE
26/08/2013 23:00,,0,,2.3,E
27/08/2013 0:00,,4.5,,1.8,NNE
27/08/2013 1:00,,21.5,,2.3,N
27/08/2013 2:00,,6.5,,2.6,NNE
27/08/2013 3:00,,6,,2.3,ENE
27/08/2013 4:00,,1.5,,3,ENE
27/08/2013 5:00,,0,,1.3,N
27/08/2013 6:00,,0,,2.2,NW
27/08/2013 7:00,,0,,3.1,NNW
27/08/2013 8:00,,0,,4.2,NNW
27/08/2013 9:00,,0,,3.1,NW
27/08/2013 10:00,,0,,2.9,N
27/08/2013 11:00,,0,,2.5,N
27/08/2013 12:00,,0,,2.4,NE
27/08/2013 13:00,,0,,2,NE
27/08/2013 14:00,,0,,1.5,WNW
27/08/2013 15:00,,0,,1.3,SSE
27/08/2013 16:00,,0,,3.5,S
27/08/2013 17:00,,0,,4,SSW
27/08/2013 18:00,,0,,2.8,SSW
27/08/2013 19:00,,0,,3,SSW
27/08/2013 20:00,,0,,3.1,SW
27/08/2013 21:00,,0,,3.1,SSW
27/08/2013 22:00,,0,,1.1,S
27/08/2013 23:00,,0,,2.3,W
28/08/2013 0:00,,0,,3.3,NW
28/08/2013 1:00,,0,,3.6,NW
28/08/2013 2:00,,0,,3.9,NNW
28/08/2013 3:00,,0,,1.4,NNW
28/08/2013 4:00,,0,,1.6,NNE
28/08/2013 5:00,,0,,1.6,N
28/08/2013 6:00,,0,,2.2,NNW
28/08/2013 7:00,,0,,0.9,NNW
28/08/2013 8:00,,0,,2.1,NNW
28/08/2013 9:00,,0,,1.9,N
28/08/2013 10:00,,0,,0.7,ESE
28/08/2013 11:00,,0,,1.9,NW
28/08/2013 12:00,,0,,1.8,N
28/08/2013 13:00,,0,,1.7,SE
28/08/2013 14:00,,0,,4.5,SSE
28/08/2013 15:00,,0,,4.1,SSE
28/08/2013 16:00,,0,,3.4,SSE
28/08/2013 17:00,,0,,2.9,SSE
28/08/2013 18:00,,0,,3.8,SSE
28/08/2013 19:00,,0,,4.7,S
28/08/2013 20:00,,0,,3.1,SSE
28/08/2013 21:00,,0,,3.4,SSE
28/08/2013 22:00,,0,,3.2,SSE
28/08/2013 23:00,,0,,2.7,S
