Datetime,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg
25/08/2019 1:00,25.6,0,88,3.6,E
25/08/2019 2:00,25.1,0,91,2.4,ENE
25/08/2019 3:00,22.2,15,99,2.5,NNW
25/08/2019 4:00,21.3,0,98,2.8,NNE
25/08/2019 5:00,21.1,0,98,2.2,NNE
25/08/2019 6:00,20.9,0,97,2.3,NW
25/08/2019 7:00,22.1,0,97,3.2,NW
25/08/2019 8:00,23.4,0,87,2,NW
25/08/2019 9:00,25.3,0,76,2.3,NNE
25/08/2019 10:00,26.9,0,66,1.6,NE
25/08/2019 11:00,27.9,0,64,1.9,SW
25/08/2019 12:00,28.9,0,53,2.1,NNE
25/08/2019 13:00,30.2,0,57,2.7,SSE
25/08/2019 14:00,29.8,0,59,3.9,S
25/08/2019 15:00,29.2,0,61,4.2,SSE
25/08/2019 16:00,28.8,0,63,3.3,SSW
25/08/2019 17:00,27.9,0,63,3.1,SSE
25/08/2019 18:00,27.1,0,72,3.7,SSW
25/08/2019 19:00,26.5,0,74,4.9,SSE
25/08/2019 20:00,25.8,0,81,2.8,SSW
25/08/2019 21:00,25.9,0,80,3.1,SSE
25/08/2019 22:00,25.7,0,80,1,SSW
25/08/2019 23:00,25,0,85,0.8,NE
26/08/2019 0:00,25.9,0,81,1.6,ESE
26/08/2019 1:00,23.9,0,85,3.3,ENE
26/08/2019 2:00,23.4,0,88,2.1,NE
26/08/2019 3:00,23.3,0,84,2.5,NE
26/08/2019 4:00,23.1,0,87,1.5,N
26/08/2019 5:00,22.9,0,85,1.8,N
26/08/2019 6:00,23.2,0,88,1.3,NNW
26/08/2019 7:00,23.8,0,85,1.7,NNE
26/08/2019 8:00,24.3,0,78,2.3,NNE
26/08/2019 9:00,24.9,0,76,3,NE
26/08/2019 10:00,26.5,0,68,2.5,NNE
26/08/2019 11:00,26.9,0,69,2.7,NE
26/08/2019 12:00,27,0,65,2.8,E
26/08/2019 13:00,27.7,0,71,2.8,ESE
26/08/2019 14:00,27.6,0,65,5.2,ESE
26/08/2019 15:00,27.7,0,62,5,SE
26/08/2019 16:00,27.1,0,62,3.8,SE
26/08/2019 17:00,26.6,0,70,1.5,SSE
26/08/2019 18:00,26.4,0,65,2.8,SE
26/08/2019 19:00,26.2,0,74,4,SE
26/08/2019 20:00,25.9,0,67,3.1,SE
26/08/2019 21:00,25.3,0,74,2.3,ESE
26/08/2019 22:00,24.9,0,83,2.3,ENE
26/08/2019 23:00,24,0,85,3.5,ENE
27/08/2019 0:00,24,0,87,1.7,ESE
27/08/2019 1:00,23.9,0,89,2.7,NE
27/08/2019 2:00,24.2,0,89,2.2,NE
27/08/2019 3:00,23.9,0,90,2.9,NE
27/08/2019 4:00,23.4,0,91,2.5,NE
27/08/2019 5:00,23.5,0,90,3,NE
27/08/2019 6:00,23.5,0,88,2.2,NE
27/08/2019 7:00,23.8,0,86,2.1,NE
27/08/2019 8:00,24.9,0,81,1.7,NNE
27/08/2019 9:00,26.1,0,79,2.2,NNW
27/08/2019 10:00,25.9,0,78,1.9,NNW
27/08/2019 11:00,25.7,5.5,97,1,WNW
27/08/2019 12:00,27.3,0,82,1.1,E
27/08/2019 13:00,28.3,0,72,0.9,W
27/08/2019 14:00,27.2,0,82,1,WNW
27/08/2019 15:00,26.7,0,77,2.5,SSW
27/08/2019 16:00,28.2,0,75,2.5,SSE
27/08/2019 17:00,27,0,76,3.1,SSE
27/08/2019 18:00,27.1,0,75,3.8,SSE
27/08/2019 19:00,26.2,0,72,3.3,S
27/08/2019 20:00,26,0,73,3.4,S
27/08/2019 21:00,24.9,0,91,3.4,S
27/08/2019 22:00,23.9,0,95,3,S
27/08/2019 23:00,23,0.5,96,3.2,SSE
28/08/2019 0:00,23.3,0,96,3.2,S
28/08/2019 1:00,23.3,0.5,100,1.6,SSE
28/08/2019 2:00,23.3,1.5,100,2,SSE
28/08/2019 3:00,23.7,0.5,100,3.7,SSE
28/08/2019 4:00,23.7,0,98,4.9,S
28/08/2019 5:00,23.6,0.5,99,3.8,S
28/08/2019 6:00,24.4,1,98,5.2,S
28/08/2019 7:00,25.1,0,95,4.8,SSW
28/08/2019 8:00,26.2,0,89,4.6,SSW
28/08/2019 9:00,27.3,0,85,4.8,SSW
28/08/2019 10:00,27.8,0,82,6.7,SSW
28/08/2019 11:00,26.6,0,87,7.7,SSW
28/08/2019 12:00,25.3,1,93,6.4,SSW
28/08/2019 13:00,25.9,0.5,93,6.4,SSW
28/08/2019 14:00,25.9,0.5,95,5.8,SSW
28/08/2019 15:00,25.7,0.5,95,5.3,SSW
28/08/2019 16:00,25.8,0.5,95,4.5,SSW
28/08/2019 17:00,26.5,0,88,4,SSW
28/08/2019 18:00,25.6,0,91,2.3,SW
28/08/2019 19:00,25.3,0,91,3.1,SW
28/08/2019 20:00,26.2,0,82,3.5,SSW
28/08/2019 21:00,26.3,0,80,4.1,SSW
28/08/2019 22:00,26,0,79,4,SW
28/08/2019 23:00,26.7,0,82,3.8,SSW
29/08/2019 0:00,27.1,0,81,5,SSW
29/08/2019 1:00,27.2,0,81,4.9,SSW
29/08/2019 2:00,27.1,0,82,4.5,SW
29/08/2019 3:00,26.8,0,86,3.4,SSW
29/08/2019 4:00,26.5,0,87,3.2,SW
29/08/2019 5:00,25.3,0,92,2,NNW
29/08/2019 6:00,24.9,0,91,1.6,N
29/08/2019 7:00,25.7,0,86,1.6,NNE
29/08/2019 8:00,27,0,84,1,WNW
29/08/2019 9:00,28.4,0,74,1.4,NW
29/08/2019 10:00,30.8,0,69,2.8,SW
