Datetime,Venue,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg,Games
24/07/2018 1:00,Mobara,26.4,0,,1.8,ENE,olympic
24/07/2018 2:00,Mobara,26.3,0,,1.4,ENE,olympic
24/07/2018 3:00,Mobara,26.2,0,,1.7,ENE,olympic
24/07/2018 4:00,Mobara,26.3,0,,1.5,NE,olympic
24/07/2018 5:00,Mobara,26,0,,1.7,NE,olympic
24/07/2018 6:00,Mobara,26.2,0,,1.7,ENE,olympic
24/07/2018 7:00,Mobara,26.8,0,,1.4,NNE,olympic
24/07/2018 8:00,Mobara,27.7,0,,1.2,NNE,olympic
24/07/2018 9:00,Mobara,28.8,0,,0.8,WNW,olympic
24/07/2018 10:00,Mobara,29.9,0,,1.8,NE,olympic
24/07/2018 11:00,Mobara,31.5,0,,2.8,E,olympic
24/07/2018 12:00,Mobara,31.5,0,,3,E,olympic
24/07/2018 13:00,Mobara,31.1,0,,2.6,E,olympic
24/07/2018 14:00,Mobara,31.8,0,,2.4,E,olympic
24/07/2018 15:00,Mobara,32.1,0,,2.5,ESE,olympic
24/07/2018 16:00,Mobara,31.9,0,,2,ESE,olympic
24/07/2018 17:00,Mobara,30.4,0,,1.9,ESE,olympic
24/07/2018 18:00,Mobara,29.6,0,,2,SE,olympic
24/07/2018 19:00,Mobara,29,0,,1.6,SSE,olympic
24/07/2018 20:00,Mobara,28.5,0,,1,ESE,olympic
24/07/2018 21:00,Mobara,28.1,0,,0.8,E,olympic
24/07/2018 22:00,Mobara,28,0,,1,NE,olympic
24/07/2018 23:00,Mobara,27.6,0,,1.2,NE,olympic
25/07/2018 0:00,Mobara,27.4,0,,1.3,E,olympic
25/07/2018 1:00,Mobara,27.4,0,,1.1,NE,olympic
25/07/2018 2:00,Mobara,26.8,0,,1.8,NE,olympic
25/07/2018 3:00,Mobara,26.9,0,,1.7,SW,olympic
25/07/2018 4:00,Mobara,26.1,0,,2.1,ENE,olympic
25/07/2018 5:00,Mobara,25.9,0,,1.5,N,olympic
25/07/2018 6:00,Mobara,26.4,0,,1.6,NNE,olympic
25/07/2018 7:00,Mobara,27.3,0,,2.2,ENE,olympic
25/07/2018 8:00,Mobara,28.7,0,,2.1,NE,olympic
25/07/2018 9:00,Mobara,30.1,0,,3.4,ENE,olympic
25/07/2018 10:00,Mobara,30.3,0,,3.9,E,olympic
25/07/2018 11:00,Mobara,30.7,0,,3.5,E,olympic
25/07/2018 12:00,Mobara,31,0,,4,E,olympic
25/07/2018 13:00,Mobara,30.8,0,,4.4,E,olympic
25/07/2018 14:00,Mobara,30.8,0,,3.7,E,olympic
25/07/2018 15:00,Mobara,30,0,,3.6,E,olympic
25/07/2018 16:00,Mobara,29.7,0,,3.8,E,olympic
25/07/2018 17:00,Mobara,28.5,0,,3.1,ENE,olympic
25/07/2018 18:00,Mobara,27.2,0,,3.3,ENE,olympic
25/07/2018 19:00,Mobara,26.5,0,,2.7,ENE,olympic
25/07/2018 20:00,Mobara,25.9,0,,2.4,ENE,olympic
25/07/2018 21:00,Mobara,25.7,0,,1.7,NNE,olympic
25/07/2018 22:00,Mobara,25.5,0,,1.7,NE,olympic
25/07/2018 23:00,Mobara,25.3,0,,1.9,NE,olympic
26/07/2018 0:00,Mobara,25.2,0,,1.4,NNE,olympic
26/07/2018 1:00,Mobara,24.6,0,,1.3,NNE,olympic
26/07/2018 2:00,Mobara,24.5,0,,1.4,NNE,olympic
26/07/2018 3:00,Mobara,24.1,0,,1.8,NNE,olympic
26/07/2018 4:00,Mobara,23.9,0,,1.5,NE,olympic
26/07/2018 5:00,Mobara,23.9,0,,1.5,NNE,olympic
26/07/2018 6:00,Mobara,23.9,0,,1.7,NE,olympic
26/07/2018 7:00,Mobara,24.7,0,,1.2,NE,olympic
26/07/2018 8:00,Mobara,27,0,,2.6,ENE,olympic
26/07/2018 9:00,Mobara,27.7,0,,3.9,ENE,olympic
26/07/2018 10:00,Mobara,28.5,0,,2.4,ENE,olympic
26/07/2018 11:00,Mobara,29.3,0,,3.5,E,olympic
26/07/2018 12:00,Mobara,29.7,0,,3.7,E,olympic
26/07/2018 13:00,Mobara,29.8,0,,3.3,E,olympic
26/07/2018 14:00,Mobara,29.5,0,,3.4,E,olympic
26/07/2018 15:00,Mobara,29.1,0,,4.1,E,olympic
26/07/2018 16:00,Mobara,27.8,0,,3.2,E,olympic
26/07/2018 17:00,Mobara,27,0,,3.6,E,olympic
26/07/2018 18:00,Mobara,25.7,0,,2.6,ENE,olympic
26/07/2018 19:00,Mobara,24.7,0,,1.7,ENE,olympic
26/07/2018 20:00,Mobara,24.3,0,,1.4,NE,olympic
26/07/2018 21:00,Mobara,23.7,0,,1.1,NNE,olympic
26/07/2018 22:00,Mobara,23.3,0,,1.5,NNE,olympic
26/07/2018 23:00,Mobara,22.6,0,,1.5,NNE,olympic
27/07/2018 0:00,Mobara,22.2,0,,1.2,N,olympic
27/07/2018 1:00,Mobara,22.1,0,,1.5,N,olympic
27/07/2018 2:00,Mobara,21.7,0,,1.4,NNE,olympic
27/07/2018 3:00,Mobara,21.7,0,,0.8,N,olympic
27/07/2018 4:00,Mobara,21.7,0,,1.9,N,olympic
27/07/2018 5:00,Mobara,21.5,0,,1.3,N,olympic
27/07/2018 6:00,Mobara,22.2,0,,2.1,N,olympic
27/07/2018 7:00,Mobara,23.5,0,,1.3,NE,olympic
27/07/2018 8:00,Mobara,25.3,0,,2,NE,olympic
27/07/2018 9:00,Mobara,25.5,0,,4,ENE,olympic
27/07/2018 10:00,Mobara,24.6,0,,3.2,NNE,olympic
27/07/2018 11:00,Mobara,25.2,0,,2.8,NNE,olympic
27/07/2018 12:00,Mobara,26.8,0,,2.5,NE,olympic
27/07/2018 13:00,Mobara,29.8,0,,3.2,NNE,olympic
27/07/2018 14:00,Mobara,29,0,,4.3,ENE,olympic
27/07/2018 15:00,Mobara,27.6,0,,3.2,NE,olympic
27/07/2018 16:00,Mobara,27.1,0,,3.7,NNE,olympic
27/07/2018 17:00,Mobara,26.4,0,,2.7,NE,olympic
27/07/2018 18:00,Mobara,25.6,0,,2.6,NNE,olympic
27/07/2018 19:00,Mobara,25,0,,2,NNE,olympic
27/07/2018 20:00,Mobara,24.6,0,,2.5,NNE,olympic
27/07/2018 21:00,Mobara,24.2,0,,3.3,NNE,olympic
27/07/2018 22:00,Mobara,24.2,0,,2.8,NNE,olympic
27/07/2018 23:00,Mobara,23.7,0,,3,NNE,olympic
