datetime,temp,humidity,rainfall,city,period
24/07/2015 1:00,25.5,87,0,izu,olympic
24/07/2015 2:00,25.3,88,0,izu,olympic
24/07/2015 3:00,24.7,91,0,izu,olympic
24/07/2015 4:00,24.5,92,0,izu,olympic
24/07/2015 5:00,24.5,92,0,izu,olympic
24/07/2015 6:00,25.2,88,0,izu,olympic
24/07/2015 7:00,26.1,83,0,izu,olympic
24/07/2015 8:00,27.2,78,0,izu,olympic
24/07/2015 9:00,28.1,75,0,izu,olympic
24/07/2015 10:00,29.4,68,0,izu,olympic
24/07/2015 11:00,30.9,67,0,izu,olympic
24/07/2015 12:00,32,62,0,izu,olympic
24/07/2015 13:00,33.4,58,0,izu,olympic
24/07/2015 14:00,32.6,58,0,izu,olympic
24/07/2015 15:00,32.3,62,0,izu,olympic
24/07/2015 16:00,30.5,66,0,izu,olympic
24/07/2015 17:00,29.9,68,0,izu,olympic
24/07/2015 18:00,28.7,73,0,izu,olympic
24/07/2015 19:00,27.9,78,0,izu,olympic
24/07/2015 20:00,27.4,81,0,izu,olympic
24/07/2015 21:00,27,82,0,izu,olympic
24/07/2015 22:00,26.8,83,0,izu,olympic
24/07/2015 23:00,26,87,0,izu,olympic
25/07/2015 0:00,25.8,88,0,izu,olympic
25/07/2015 1:00,25.4,88,0,izu,olympic
25/07/2015 2:00,25.2,89,0,izu,olympic
25/07/2015 3:00,25.6,89,0,izu,olympic
25/07/2015 4:00,25.4,89,0,izu,olympic
25/07/2015 5:00,25.9,88,0,izu,olympic
25/07/2015 6:00,26.4,86,0,izu,olympic
25/07/2015 7:00,27.2,82,0,izu,olympic
25/07/2015 8:00,28,78,0,izu,olympic
25/07/2015 9:00,28.5,73,0,izu,olympic
25/07/2015 10:00,30.8,68,0,izu,olympic
25/07/2015 11:00,30.3,69,0,izu,olympic
25/07/2015 12:00,30.2,68,0,izu,olympic
25/07/2015 13:00,31.4,66,0,izu,olympic
25/07/2015 14:00,29.5,71,0,izu,olympic
25/07/2015 15:00,29.9,73,0,izu,olympic
25/07/2015 16:00,30.1,69,0,izu,olympic
25/07/2015 17:00,30.2,68,0,izu,olympic
25/07/2015 18:00,29.4,70,0,izu,olympic
25/07/2015 19:00,28.4,76,0,izu,olympic
25/07/2015 20:00,27.5,79,0,izu,olympic
25/07/2015 21:00,27.3,82,0,izu,olympic
25/07/2015 22:00,27.7,77,0,izu,olympic
25/07/2015 23:00,27.5,79,0,izu,olympic
26/07/2015 0:00,27,83,0,izu,olympic
26/07/2015 1:00,26.9,83,0,izu,olympic
26/07/2015 2:00,26.7,84,0,izu,olympic
26/07/2015 3:00,26.6,85,0,izu,olympic
26/07/2015 4:00,26.3,87,0,izu,olympic
26/07/2015 5:00,25.7,90,0,izu,olympic
26/07/2015 6:00,25.7,87,0,izu,olympic
26/07/2015 7:00,26.7,83,0,izu,olympic
26/07/2015 8:00,29,77,0,izu,olympic
26/07/2015 9:00,30.7,71,0,izu,olympic
26/07/2015 10:00,32,64,0,izu,olympic
26/07/2015 11:00,32.8,64,0,izu,olympic
26/07/2015 12:00,32.5,62,0,izu,olympic
26/07/2015 13:00,32.4,59,0,izu,olympic
26/07/2015 14:00,32.8,59,0,izu,olympic
26/07/2015 15:00,32.7,58,0,izu,olympic
26/07/2015 16:00,31.6,60,0,izu,olympic
26/07/2015 17:00,30.5,66,0,izu,olympic
26/07/2015 18:00,29.7,67,0,izu,olympic
26/07/2015 19:00,28.9,71,0,izu,olympic
26/07/2015 20:00,28.7,72,0,izu,olympic
26/07/2015 21:00,28.3,74,0,izu,olympic
26/07/2015 22:00,27.6,76,0,izu,olympic
26/07/2015 23:00,27,80,0,izu,olympic
27/07/2015 0:00,26.6,82,0,izu,olympic
27/07/2015 1:00,26,86,0,izu,olympic
27/07/2015 2:00,25.3,88,0,izu,olympic
27/07/2015 3:00,24.6,89,0,izu,olympic
27/07/2015 4:00,24.4,90,0,izu,olympic
27/07/2015 5:00,24.8,89,0,izu,olympic
27/07/2015 6:00,25.8,86,0,izu,olympic
27/07/2015 7:00,26.6,86,0,izu,olympic
27/07/2015 8:00,29.2,69,0,izu,olympic
27/07/2015 9:00,30.4,68,0,izu,olympic
27/07/2015 10:00,31,65,0,izu,olympic
27/07/2015 11:00,31.3,64,0,izu,olympic
27/07/2015 12:00,32.1,60,0,izu,olympic
27/07/2015 13:00,32.8,63,0,izu,olympic
27/07/2015 14:00,31.9,64,0,izu,olympic
27/07/2015 15:00,31.1,70,0,izu,olympic
27/07/2015 16:00,31,68,0,izu,olympic
27/07/2015 17:00,30.4,71,0,izu,olympic
27/07/2015 18:00,29.9,71,0,izu,olympic
27/07/2015 19:00,29.4,71,0,izu,olympic
27/07/2015 20:00,28.6,75,0,izu,olympic
27/07/2015 21:00,28.3,77,0,izu,olympic
27/07/2015 22:00,27.9,76,0,izu,olympic
27/07/2015 23:00,27.6,77,0,izu,olympic
28/07/2015 0:00,27.5,78,0,izu,olympic
28/07/2015 1:00,27.4,79,0,izu,olympic
28/07/2015 2:00,27,82,0,izu,olympic
28/07/2015 3:00,26.7,85,0,izu,olympic
28/07/2015 4:00,25.4,87,0,izu,olympic
28/07/2015 5:00,25.6,86,0,izu,olympic
28/07/2015 6:00,25.6,84,0,izu,olympic
28/07/2015 7:00,26.8,83,0,izu,olympic
