datetime,temp,humidity,rainfall,city,period
25/08/2015 1:00,23,64,0,izu,para
25/08/2015 2:00,22.9,65,0,izu,para
25/08/2015 3:00,22.3,66,0,izu,para
25/08/2015 4:00,22.2,66,0,izu,para
25/08/2015 5:00,22.1,66,0,izu,para
25/08/2015 6:00,22.4,65,0,izu,para
25/08/2015 7:00,22.6,65,0,izu,para
25/08/2015 8:00,23.3,64,0,izu,para
25/08/2015 9:00,23.5,64,0,izu,para
25/08/2015 10:00,23.2,63,0,izu,para
25/08/2015 11:00,22.9,64,0,izu,para
25/08/2015 12:00,22.1,74,0,izu,para
25/08/2015 13:00,22.1,75,0,izu,para
25/08/2015 14:00,22.3,73,0,izu,para
25/08/2015 15:00,22.7,71,0,izu,para
25/08/2015 16:00,22.6,69,0,izu,para
25/08/2015 17:00,22.1,72,0,izu,para
25/08/2015 18:00,21.2,79,0,izu,para
25/08/2015 19:00,20.2,88,0.5,izu,para
25/08/2015 20:00,19.6,91,1.5,izu,para
25/08/2015 21:00,19.5,89,0,izu,para
25/08/2015 22:00,19.6,89,0.5,izu,para
25/08/2015 23:00,20.2,84,0,izu,para
26/08/2015 0:00,20.3,81,0,izu,para
26/08/2015 1:00,20.5,79,0,izu,para
26/08/2015 2:00,20.9,79,0,izu,para
26/08/2015 3:00,20.1,86,1,izu,para
26/08/2015 4:00,19.1,93,10.5,izu,para
26/08/2015 5:00,19.1,94,5.5,izu,para
26/08/2015 6:00,18.9,98,12,izu,para
26/08/2015 7:00,19.3,95,0,izu,para
26/08/2015 8:00,20,93,0,izu,para
26/08/2015 9:00,21.4,87,0,izu,para
26/08/2015 10:00,23.5,84,0,izu,para
26/08/2015 11:00,26.1,73,0,izu,para
26/08/2015 12:00,27.7,72,0,izu,para
26/08/2015 13:00,28.2,65,0,izu,para
26/08/2015 14:00,28.9,63,0,izu,para
26/08/2015 15:00,28.6,65,0,izu,para
26/08/2015 16:00,27.3,69,0,izu,para
26/08/2015 17:00,25.8,74,0,izu,para
26/08/2015 18:00,24.9,79,0,izu,para
26/08/2015 19:00,24.6,80,0,izu,para
26/08/2015 20:00,24,84,0,izu,para
26/08/2015 21:00,23.9,83,0,izu,para
26/08/2015 22:00,22.9,88,0,izu,para
26/08/2015 23:00,23,88,0,izu,para
27/08/2015 0:00,22.3,93,0.5,izu,para
27/08/2015 1:00,22.4,91,0.5,izu,para
27/08/2015 2:00,22.4,93,0,izu,para
27/08/2015 3:00,22.4,91,0,izu,para
27/08/2015 4:00,22.3,92,0,izu,para
27/08/2015 5:00,22.4,90,0,izu,para
27/08/2015 6:00,22.5,91,0,izu,para
27/08/2015 7:00,23,87,0,izu,para
27/08/2015 8:00,23.6,84,0,izu,para
27/08/2015 9:00,24.6,81,0,izu,para
27/08/2015 10:00,25.9,75,0,izu,para
27/08/2015 11:00,27.8,66,0,izu,para
27/08/2015 12:00,27.9,67,0,izu,para
27/08/2015 13:00,30.4,58,0,izu,para
27/08/2015 14:00,29.4,61,0,izu,para
27/08/2015 15:00,29.5,61,0,izu,para
27/08/2015 16:00,29.1,65,0,izu,para
