datetime,temp,humidity,rainfall,city,period
24/06/2015 1:00,23.9,84,0,saga,pre
24/06/2015 2:00,23.6,87,0,saga,pre
24/06/2015 3:00,23.9,85,0,saga,pre
24/06/2015 4:00,23.5,85,0,saga,pre
24/06/2015 5:00,23.5,85,0,saga,pre
24/06/2015 6:00,23.5,86,0,saga,pre
24/06/2015 7:00,23.5,86,0,saga,pre
24/06/2015 8:00,24.6,78,0,saga,pre
24/06/2015 9:00,24.9,76,0,saga,pre
24/06/2015 10:00,25,79,0,saga,pre
24/06/2015 11:00,26,74,0,saga,pre
24/06/2015 12:00,25.9,76,0,saga,pre
24/06/2015 13:00,25.4,80,0,saga,pre
24/06/2015 14:00,25.2,83,0,saga,pre
24/06/2015 15:00,24.9,86,1,saga,pre
24/06/2015 16:00,24.7,90,1.5,saga,pre
24/06/2015 17:00,24.6,91,0.5,saga,pre
24/06/2015 18:00,24.6,91,0.5,saga,pre
24/06/2015 19:00,24.4,93,0.5,saga,pre
24/06/2015 20:00,24.3,84,0.5,saga,pre
24/06/2015 21:00,22.8,94,1,saga,pre
24/06/2015 22:00,22.4,96,2,saga,pre
24/06/2015 23:00,22.1,93,0.5,saga,pre
25/06/2015 0:00,22.2,89,0.5,saga,pre
25/06/2015 1:00,22,93,0,saga,pre
25/06/2015 2:00,21.8,94,0,saga,pre
25/06/2015 3:00,21.9,95,0,saga,pre
25/06/2015 4:00,21.9,93,0,saga,pre
25/06/2015 5:00,21.6,95,0,saga,pre
25/06/2015 6:00,22,95,0,saga,pre
25/06/2015 7:00,22.7,88,0,saga,pre
25/06/2015 8:00,24.4,82,0,saga,pre
25/06/2015 9:00,25.8,75,0,saga,pre
25/06/2015 10:00,26.7,70,0,saga,pre
25/06/2015 11:00,27.2,67,0,saga,pre
25/06/2015 12:00,27.7,65,0,saga,pre
25/06/2015 13:00,28.5,62,0,saga,pre
25/06/2015 14:00,29.2,62,0,saga,pre
25/06/2015 15:00,28.2,69,0,saga,pre
25/06/2015 16:00,25.5,80,0,saga,pre
25/06/2015 17:00,24.8,88,0.5,saga,pre
25/06/2015 18:00,24.5,90,0.5,saga,pre
25/06/2015 19:00,24.1,91,0,saga,pre
25/06/2015 20:00,24.1,91,0,saga,pre
25/06/2015 21:00,24,93,0,saga,pre
25/06/2015 22:00,23.8,93,0.5,saga,pre
25/06/2015 23:00,23.7,94,0.5,saga,pre
26/06/2015 0:00,23.5,94,1,saga,pre
