datetime,temp,humidity,rainfall,city,period
25/08/2015 1:00,16,63,0,sapporo,para
25/08/2015 2:00,16.1,62,0,sapporo,para
25/08/2015 3:00,16,62,0,sapporo,para
25/08/2015 4:00,15.1,66,0,sapporo,para
25/08/2015 5:00,15,66,0,sapporo,para
25/08/2015 6:00,15.4,65,0,sapporo,para
25/08/2015 7:00,15.7,61,0,sapporo,para
25/08/2015 8:00,17,59,0,sapporo,para
25/08/2015 9:00,18.4,56,0,sapporo,para
25/08/2015 10:00,19.8,51,0,sapporo,para
25/08/2015 11:00,22.3,44,0,sapporo,para
25/08/2015 12:00,22.9,38,0,sapporo,para
25/08/2015 13:00,24.7,35,0,sapporo,para
25/08/2015 14:00,25.1,33,0,sapporo,para
25/08/2015 15:00,25.4,32,0,sapporo,para
25/08/2015 16:00,24.9,46,0,sapporo,para
25/08/2015 17:00,23.7,43,0,sapporo,para
25/08/2015 18:00,22.5,50,0,sapporo,para
25/08/2015 19:00,21.6,55,0,sapporo,para
25/08/2015 20:00,20.6,62,0,sapporo,para
25/08/2015 21:00,19.3,66,0,sapporo,para
25/08/2015 22:00,18.6,68,0,sapporo,para
25/08/2015 23:00,17.7,69,0,sapporo,para
26/08/2015 0:00,17.6,67,0,sapporo,para
26/08/2015 1:00,17.1,69,0,sapporo,para
26/08/2015 2:00,17.2,66,0,sapporo,para
26/08/2015 3:00,17.5,66,0,sapporo,para
26/08/2015 4:00,17.2,72,0,sapporo,para
26/08/2015 5:00,17.3,76,0,sapporo,para
26/08/2015 6:00,17.8,77,0,sapporo,para
26/08/2015 7:00,18.3,76,0,sapporo,para
26/08/2015 8:00,19.5,73,0,sapporo,para
26/08/2015 9:00,20.3,69,0,sapporo,para
26/08/2015 10:00,21.3,58,0,sapporo,para
26/08/2015 11:00,20.8,57,0,sapporo,para
26/08/2015 12:00,21,56,0,sapporo,para
26/08/2015 13:00,21.6,55,0,sapporo,para
26/08/2015 14:00,21.1,55,0,sapporo,para
26/08/2015 15:00,20.8,57,0,sapporo,para
26/08/2015 16:00,20.7,58,0,sapporo,para
26/08/2015 17:00,20.3,57,0,sapporo,para
26/08/2015 18:00,19.7,61,0,sapporo,para
26/08/2015 19:00,19.3,61,0,sapporo,para
26/08/2015 20:00,19.7,58,0,sapporo,para
26/08/2015 21:00,19.4,61,0,sapporo,para
26/08/2015 22:00,19.3,67,0,sapporo,para
26/08/2015 23:00,19.1,71,0,sapporo,para
27/08/2015 0:00,18.7,76,0,sapporo,para
27/08/2015 1:00,19.1,72,0,sapporo,para
27/08/2015 2:00,19.3,73,0,sapporo,para
27/08/2015 3:00,19.3,73,0,sapporo,para
27/08/2015 4:00,19.1,75,0,sapporo,para
27/08/2015 5:00,19.2,76,0,sapporo,para
27/08/2015 6:00,18.7,81,0,sapporo,para
27/08/2015 7:00,19,81,0,sapporo,para
27/08/2015 8:00,19.5,79,0,sapporo,para
27/08/2015 9:00,19.7,80,0,sapporo,para
27/08/2015 10:00,18.6,86,2,sapporo,para
27/08/2015 11:00,19,74,1,sapporo,para
27/08/2015 12:00,20.2,77,0,sapporo,para
27/08/2015 13:00,21.5,67,0,sapporo,para
27/08/2015 14:00,22,59,0,sapporo,para
27/08/2015 15:00,21.8,61,0,sapporo,para
27/08/2015 16:00,21.8,67,0,sapporo,para
27/08/2015 17:00,21,71,0,sapporo,para
27/08/2015 18:00,20.8,60,0,sapporo,para
27/08/2015 19:00,20.4,57,0,sapporo,para
27/08/2015 20:00,19.9,69,0,sapporo,para
27/08/2015 21:00,19.7,79,0,sapporo,para
