Datetime,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg
24/07/2013 1:00,,0,,1.4,SE
24/07/2013 2:00,,0,,1.6,ESE
24/07/2013 3:00,,0,,2,ESE
24/07/2013 4:00,,0,,1.9,SE
24/07/2013 5:00,,0,,2.6,SSE
24/07/2013 6:00,,0,,2.2,SE
24/07/2013 7:00,,0,,3.1,SE
24/07/2013 8:00,,0,,2.7,SSE
24/07/2013 9:00,,0,,2.8,SE
24/07/2013 10:00,,0,,2.5,SE
24/07/2013 11:00,,0,,4,SSE
24/07/2013 12:00,,0,,2.3,SSE
24/07/2013 13:00,,0,,3.1,SSE
24/07/2013 14:00,,0,,2.3,SSE
24/07/2013 15:00,,0.5,,3.3,SSE
24/07/2013 16:00,,0.5,,1.5,SSE
24/07/2013 17:00,,0,,1.7,S
24/07/2013 18:00,,0.5,,2.4,SE
24/07/2013 19:00,,0,,3.3,SE
24/07/2013 20:00,,0,,2,SE
24/07/2013 21:00,,0,,2.9,SSE
24/07/2013 22:00,,0,,3.2,SE
24/07/2013 23:00,,0,,2.4,SSE
25/07/2013 0:00,,0,,2.5,SE
25/07/2013 1:00,,0,,1.8,SE
25/07/2013 2:00,,0,,1.6,SE
25/07/2013 3:00,,0,,1.1,ESE
25/07/2013 4:00,,0,,2.6,ENE
25/07/2013 5:00,,0,,1.4,E
25/07/2013 6:00,,0,,0.9,NE
25/07/2013 7:00,,0,,1.4,SE
25/07/2013 8:00,,0,,2.3,E
25/07/2013 9:00,,0,,1.7,ENE
25/07/2013 10:00,,0,,1.4,NE
25/07/2013 11:00,,0,,1.7,N
25/07/2013 12:00,,0,,1.3,SW
25/07/2013 13:00,,0,,1.7,WNW
25/07/2013 14:00,,0,,0.6,W
25/07/2013 15:00,,0,,0.7,SW
25/07/2013 16:00,,0,,1.1,NW
25/07/2013 17:00,,0,,1.4,SSE
25/07/2013 18:00,,0,,1.4,SSE
25/07/2013 19:00,,0,,0.7,NW
25/07/2013 20:00,,0,,2.7,WSW
25/07/2013 21:00,,0,,1.6,WNW
25/07/2013 22:00,,0,,0.8,W
25/07/2013 23:00,,0,,2.5,ESE
26/07/2013 0:00,,0,,2,ESE
26/07/2013 1:00,,0,,2.5,SE
26/07/2013 2:00,,0,,1.3,S
26/07/2013 3:00,,0,,1.6,S
26/07/2013 4:00,,0,,1.4,SSW
26/07/2013 5:00,,0,,1.5,W
26/07/2013 6:00,,0,,1.5,SSW
26/07/2013 7:00,,0,,0.5,W
26/07/2013 8:00,,0,,0.7,SW
26/07/2013 9:00,,0,,1.3,WSW
26/07/2013 10:00,,0,,1.4,SE
26/07/2013 11:00,,0,,2.9,SSE
26/07/2013 12:00,,0,,4,SSE
26/07/2013 13:00,,0,,3.6,SSE
26/07/2013 14:00,,0,,3.7,SSE
26/07/2013 15:00,,0,,4,SSE
26/07/2013 16:00,,0,,4.1,SSE
26/07/2013 17:00,,0,,3.5,S
26/07/2013 18:00,,0,,4.5,SSW
26/07/2013 19:00,,0,,4.9,SSE
26/07/2013 20:00,,0,,4.5,SSE
26/07/2013 21:00,,0,,2.8,SSE
26/07/2013 22:00,,0,,2.1,SSE
26/07/2013 23:00,,0,,3.4,SSE
27/07/2013 0:00,,0,,3.1,SSW
27/07/2013 1:00,,0,,1.2,S
27/07/2013 2:00,,0,,2.3,SSE
27/07/2013 3:00,,0,,1.9,WSW
27/07/2013 4:00,,0,,2.4,WNW
27/07/2013 5:00,,0,,2.9,NW
27/07/2013 6:00,,0,,1.9,NNW
27/07/2013 7:00,,0,,1.7,NNE
27/07/2013 8:00,,0,,0.7,NE
27/07/2013 9:00,,0,,0.8,SSW
27/07/2013 10:00,,0,,2.2,S
27/07/2013 11:00,,0,,2.9,SSE
27/07/2013 12:00,,0,,3.5,SSE
27/07/2013 13:00,,0,,4.2,SSE
27/07/2013 14:00,,0,,3.5,SSE
27/07/2013 15:00,,0,,5.3,S
27/07/2013 16:00,,0,,5.4,SE
27/07/2013 17:00,,0,,6.9,SSE
27/07/2013 18:00,,0,,4,S
27/07/2013 19:00,,0,,1.8,S
27/07/2013 20:00,,14.5,,3.2,NNW
27/07/2013 21:00,,3,,3.1,NW
27/07/2013 22:00,,1.5,,2,NNW
27/07/2013 23:00,,0.5,,3.3,NW
28/07/2013 0:00,,0,,2.2,NNW
28/07/2013 1:00,,0.5,,1.1,NNE
28/07/2013 2:00,,0,,1.4,NNW
