Datetime,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg
24/07/2019 1:00,24.4,0,99,2.3,ENE
24/07/2019 2:00,24.2,0,99,2.5,ENE
24/07/2019 3:00,23.9,0,100,0.9,NW
24/07/2019 4:00,24.1,0,100,2.4,NE
24/07/2019 5:00,24,0,100,1.9,NE
24/07/2019 6:00,24.7,0,96,0.5,ENE
24/07/2019 7:00,25.6,0,92,1.5,NE
24/07/2019 8:00,25.7,0,92,1.9,ENE
24/07/2019 9:00,26.9,0,81,1.4,WNW
24/07/2019 10:00,26.9,0,87,1.3,S
24/07/2019 11:00,25.4,5,100,1.9,SSW
24/07/2019 12:00,28.6,1,90,1.1,WSW
24/07/2019 13:00,30.5,0,74,1.4,E
24/07/2019 14:00,30.9,0,67,3.6,SSE
24/07/2019 15:00,31,0,64,4.1,SE
24/07/2019 16:00,29.6,0,73,5,SE
24/07/2019 17:00,28.2,0,82,4.3,SE
24/07/2019 18:00,27.9,0,75,3.9,SE
24/07/2019 19:00,27.7,0,75,4.4,S
24/07/2019 20:00,27.6,0,77,3.2,SSE
24/07/2019 21:00,26.6,0,82,2.7,S
24/07/2019 22:00,26.4,0,85,3.3,SSE
24/07/2019 23:00,26.3,0,89,2.6,SSE
25/07/2019 0:00,26.2,0,90,2,SSE
25/07/2019 1:00,25.1,0,97,1.8,SSE
25/07/2019 2:00,25.1,0,97,1.5,SSE
25/07/2019 3:00,25.1,0,99,1.3,SSE
25/07/2019 4:00,24.4,0,100,1.6,S
25/07/2019 5:00,24.4,0,99,1,SSW
25/07/2019 6:00,25.3,0,97,1.2,S
25/07/2019 7:00,26.6,0,88,1.2,SSE
25/07/2019 8:00,28.5,0,76,1.4,SSE
25/07/2019 9:00,27.2,0,86,2.4,NW
25/07/2019 10:00,28.6,0,78,1.6,NNE
25/07/2019 11:00,29.5,0,76,1.6,SE
25/07/2019 12:00,31.2,0,73,3,SE
25/07/2019 13:00,31.5,0,67,5.1,SSE
25/07/2019 14:00,31.1,0,66,4.3,SSE
25/07/2019 15:00,32,0,65,4.5,SE
25/07/2019 16:00,30.8,0,70,4.3,SSE
25/07/2019 17:00,29.4,0,76,4.4,SSE
25/07/2019 18:00,28.5,0,81,3.3,SSE
25/07/2019 19:00,28.3,0,79,5.6,S
25/07/2019 20:00,28.4,0,78,5.4,S
25/07/2019 21:00,28.1,0,79,3.5,S
25/07/2019 22:00,27.6,0,81,3.7,S
25/07/2019 23:00,27.5,0,80,5.3,S
26/07/2019 0:00,27.3,0,79,4.7,S
26/07/2019 1:00,26.7,0,80,3.6,S
26/07/2019 2:00,26.9,0,79,3.8,S
26/07/2019 3:00,26.1,0,84,3.1,S
26/07/2019 4:00,26,0,86,3.2,S
26/07/2019 5:00,25.8,0,87,2.8,S
26/07/2019 6:00,26.5,0,87,3,S
26/07/2019 7:00,28.1,0,77,5,S
26/07/2019 8:00,29.8,0,70,4.5,S
26/07/2019 9:00,30.7,0,71,4.2,SSE
26/07/2019 10:00,31.3,0,62,4,SSW
26/07/2019 11:00,32.1,0,62,5.9,SSE
26/07/2019 12:00,31.9,0,57,5.4,SSE
26/07/2019 13:00,30.6,0,64,6.5,S
26/07/2019 14:00,31.6,0,63,5.2,SSE
26/07/2019 15:00,30.9,0,67,5.7,SSE
26/07/2019 16:00,29.9,0,62,4.7,S
26/07/2019 17:00,29.8,0,65,3.7,S
26/07/2019 18:00,28.8,0,72,5.6,SSW
26/07/2019 19:00,28.1,0,76,4.7,S
26/07/2019 20:00,28,0,78,3.4,SSE
26/07/2019 21:00,26.7,0,90,3.5,SE
26/07/2019 22:00,26,0.5,96,4.5,SE
26/07/2019 23:00,25.7,0,100,3.5,SE
27/07/2019 0:00,26,0,96,3.6,SE
27/07/2019 1:00,26.7,0,92,4.5,SSE
27/07/2019 2:00,27,0,91,4.3,SE
