Datetime,Venue,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg,Games
25/08/2018 1:00,Mobara,28.4,0,,4,SW,paralympic
25/08/2018 2:00,Mobara,28.2,0,,3,SW,paralympic
25/08/2018 3:00,Mobara,28.2,0,,3.1,SW,paralympic
25/08/2018 4:00,Mobara,28.2,0,,4.1,SW,paralympic
25/08/2018 5:00,Mobara,28,0,,3.4,SW,paralympic
25/08/2018 6:00,Mobara,28.4,0,,4.3,SW,paralympic
25/08/2018 7:00,Mobara,29.5,0,,4,SW,paralympic
25/08/2018 8:00,Mobara,31,0,,4.4,SW,paralympic
25/08/2018 9:00,Mobara,32.1,0,,5.4,WSW,paralympic
25/08/2018 10:00,Mobara,33,0,,5.1,WSW,paralympic
25/08/2018 11:00,Mobara,34,0,,4.1,SW,paralympic
25/08/2018 12:00,Mobara,34.2,0,,4.2,SW,paralympic
25/08/2018 13:00,Mobara,34,0,,4.6,SW,paralympic
25/08/2018 14:00,Mobara,34.1,0,,4.6,SW,paralympic
25/08/2018 15:00,Mobara,33.4,0,,4.3,WSW,paralympic
25/08/2018 16:00,Mobara,32.7,0,,3.7,WSW,paralympic
25/08/2018 17:00,Mobara,31.7,0,,3.5,WSW,paralympic
25/08/2018 18:00,Mobara,30.3,0,,2.9,SW,paralympic
25/08/2018 19:00,Mobara,29.3,0,,2.3,SW,paralympic
25/08/2018 20:00,Mobara,28.9,0,,1.4,SSW,paralympic
25/08/2018 21:00,Mobara,28.9,0,,0.7,NNE,paralympic
25/08/2018 22:00,Mobara,28.6,0,,0.9,SW,paralympic
25/08/2018 23:00,Mobara,27.7,0,,0.6,E,paralympic
26/08/2018 0:00,Mobara,27.2,0,,0.9,S,paralympic
26/08/2018 1:00,Mobara,26.9,0,,0.9,S,paralympic
26/08/2018 2:00,Mobara,26.6,0,,0.4,NNW,paralympic
26/08/2018 3:00,Mobara,26.3,0,,0.2,0,paralympic
26/08/2018 4:00,Mobara,26.1,0,,0.5,ESE,paralympic
26/08/2018 5:00,Mobara,25.7,0,,0.7,SSW,paralympic
26/08/2018 6:00,Mobara,26.6,0,,1.1,SW,paralympic
26/08/2018 7:00,Mobara,29.1,0,,1.3,NW,paralympic
26/08/2018 8:00,Mobara,32,0,,1.3,NNW,paralympic
26/08/2018 9:00,Mobara,32.5,0,,1.8,SW,paralympic
26/08/2018 10:00,Mobara,34.2,0,,1.1,NE,paralympic
26/08/2018 11:00,Mobara,36.2,0,,1.3,NNW,paralympic
26/08/2018 12:00,Mobara,35.5,0,,2.9,E,paralympic
26/08/2018 13:00,Mobara,35.7,0,,2.7,E,paralympic
26/08/2018 14:00,Mobara,35.9,0,,2.4,ESE,paralympic
26/08/2018 15:00,Mobara,36.5,0,,2.3,SE,paralympic
26/08/2018 16:00,Mobara,36.1,0,,2.8,E,paralympic
26/08/2018 17:00,Mobara,34.5,0,,2.4,WSW,paralympic
26/08/2018 18:00,Mobara,32.7,0,,2,SW,paralympic
26/08/2018 19:00,Mobara,31.3,0,,1.5,SSW,paralympic
26/08/2018 20:00,Mobara,30.2,0,,1,SSW,paralympic
26/08/2018 21:00,Mobara,29.2,0,,1.8,SW,paralympic
26/08/2018 22:00,Mobara,28.9,0,,0.7,W,paralympic
26/08/2018 23:00,Mobara,28.5,0,,1.1,N,paralympic
27/08/2018 0:00,Mobara,28.1,0,,1.4,W,paralympic
27/08/2018 1:00,Mobara,27.4,0,,0.2,0,paralympic
27/08/2018 2:00,Mobara,26.9,0,,0.5,NE,paralympic
27/08/2018 3:00,Mobara,26.2,0,,0.7,SSE,paralympic
27/08/2018 4:00,Mobara,25.8,0,,0.9,SSW,paralympic
27/08/2018 5:00,Mobara,25.7,0,,0.5,SSW,paralympic
27/08/2018 6:00,Mobara,25.9,0,,1,SW,paralympic
27/08/2018 7:00,Mobara,28.6,0,,0.7,NW,paralympic
27/08/2018 8:00,Mobara,31.7,0,,1.1,NW,paralympic
27/08/2018 9:00,Mobara,33.1,0,,2.2,ENE,paralympic
27/08/2018 10:00,Mobara,34.3,0,,3.1,E,paralympic
27/08/2018 11:00,Mobara,34.6,0,,3.1,E,paralympic
27/08/2018 12:00,Mobara,33.7,0,,3.3,E,paralympic
27/08/2018 13:00,Mobara,32.4,0,,3.1,E,paralympic
27/08/2018 14:00,Mobara,30.3,0,,3.7,E,paralympic
27/08/2018 15:00,Mobara,29.1,0,,3.9,E,paralympic
27/08/2018 16:00,Mobara,28.4,0,,3.6,E,paralympic
27/08/2018 17:00,Mobara,27.6,0,,3.3,ENE,paralympic
27/08/2018 18:00,Mobara,26.9,0,,2.7,E,paralympic
