Datetime,Venue,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg,Games
24/07/2019 1:00,Tokyo,24.4,0,99,2.3,ENE,olympic
24/07/2019 2:00,Tokyo,24.2,0,99,2.5,ENE,olympic
24/07/2019 3:00,Tokyo,23.9,0,100,0.9,NW,olympic
24/07/2019 4:00,Tokyo,24.1,0,100,2.4,NE,olympic
24/07/2019 5:00,Tokyo,24,0,100,1.9,NE,olympic
24/07/2019 6:00,Tokyo,24.7,0,96,0.5,ENE,olympic
24/07/2019 7:00,Tokyo,25.6,0,92,1.5,NE,olympic
24/07/2019 8:00,Tokyo,25.7,0,92,1.9,ENE,olympic
24/07/2019 9:00,Tokyo,26.9,0,81,1.4,WNW,olympic
24/07/2019 10:00,Tokyo,26.9,0,87,1.3,S,olympic
24/07/2019 11:00,Tokyo,25.4,5,100,1.9,SSW,olympic
24/07/2019 12:00,Tokyo,28.6,1,90,1.1,WSW,olympic
24/07/2019 13:00,Tokyo,30.5,0,74,1.4,E,olympic
24/07/2019 14:00,Tokyo,30.9,0,67,3.6,SSE,olympic
24/07/2019 15:00,Tokyo,31,0,64,4.1,SE,olympic
24/07/2019 16:00,Tokyo,29.6,0,73,5,SE,olympic
24/07/2019 17:00,Tokyo,28.2,0,82,4.3,SE,olympic
24/07/2019 18:00,Tokyo,27.9,0,75,3.9,SE,olympic
24/07/2019 19:00,Tokyo,27.7,0,75,4.4,S,olympic
24/07/2019 20:00,Tokyo,27.6,0,77,3.2,SSE,olympic
24/07/2019 21:00,Tokyo,26.6,0,82,2.7,S,olympic
24/07/2019 22:00,Tokyo,26.4,0,85,3.3,SSE,olympic
24/07/2019 23:00,Tokyo,26.3,0,89,2.6,SSE,olympic
25/07/2019 0:00,Tokyo,26.2,0,90,2,SSE,olympic
25/07/2019 1:00,Tokyo,25.1,0,97,1.8,SSE,olympic
25/07/2019 2:00,Tokyo,25.1,0,97,1.5,SSE,olympic
25/07/2019 3:00,Tokyo,25.1,0,99,1.3,SSE,olympic
25/07/2019 4:00,Tokyo,24.4,0,100,1.6,S,olympic
25/07/2019 5:00,Tokyo,24.4,0,99,1,SSW,olympic
25/07/2019 6:00,Tokyo,25.3,0,97,1.2,S,olympic
25/07/2019 7:00,Tokyo,26.6,0,88,1.2,SSE,olympic
25/07/2019 8:00,Tokyo,28.5,0,76,1.4,SSE,olympic
25/07/2019 9:00,Tokyo,27.2,0,86,2.4,NW,olympic
25/07/2019 10:00,Tokyo,28.6,0,78,1.6,NNE,olympic
25/07/2019 11:00,Tokyo,29.5,0,76,1.6,SE,olympic
25/07/2019 12:00,Tokyo,31.2,0,73,3,SE,olympic
25/07/2019 13:00,Tokyo,31.5,0,67,5.1,SSE,olympic
25/07/2019 14:00,Tokyo,31.1,0,66,4.3,SSE,olympic
25/07/2019 15:00,Tokyo,32,0,65,4.5,SE,olympic
25/07/2019 16:00,Tokyo,30.8,0,70,4.3,SSE,olympic
25/07/2019 17:00,Tokyo,29.4,0,76,4.4,SSE,olympic
25/07/2019 18:00,Tokyo,28.5,0,81,3.3,SSE,olympic
25/07/2019 19:00,Tokyo,28.3,0,79,5.6,S,olympic
25/07/2019 20:00,Tokyo,28.4,0,78,5.4,S,olympic
25/07/2019 21:00,Tokyo,28.1,0,79,3.5,S,olympic
25/07/2019 22:00,Tokyo,27.6,0,81,3.7,S,olympic
25/07/2019 23:00,Tokyo,27.5,0,80,5.3,S,olympic
26/07/2019 0:00,Tokyo,27.3,0,79,4.7,S,olympic
26/07/2019 1:00,Tokyo,26.7,0,80,3.6,S,olympic
26/07/2019 2:00,Tokyo,26.9,0,79,3.8,S,olympic
26/07/2019 3:00,Tokyo,26.1,0,84,3.1,S,olympic
26/07/2019 4:00,Tokyo,26,0,86,3.2,S,olympic
26/07/2019 5:00,Tokyo,25.8,0,87,2.8,S,olympic
26/07/2019 6:00,Tokyo,26.5,0,87,3,S,olympic
26/07/2019 7:00,Tokyo,28.1,0,77,5,S,olympic
26/07/2019 8:00,Tokyo,29.8,0,70,4.5,S,olympic
26/07/2019 9:00,Tokyo,30.7,0,71,4.2,SSE,olympic
26/07/2019 10:00,Tokyo,31.3,0,62,4,SSW,olympic
26/07/2019 11:00,Tokyo,32.1,0,62,5.9,SSE,olympic
26/07/2019 12:00,Tokyo,31.9,0,57,5.4,SSE,olympic
26/07/2019 13:00,Tokyo,30.6,0,64,6.5,S,olympic
26/07/2019 14:00,Tokyo,31.6,0,63,5.2,SSE,olympic
26/07/2019 15:00,Tokyo,30.9,0,67,5.7,SSE,olympic
26/07/2019 16:00,Tokyo,29.9,0,62,4.7,S,olympic
26/07/2019 17:00,Tokyo,29.8,0,65,3.7,S,olympic
26/07/2019 18:00,Tokyo,28.8,0,72,5.6,SSW,olympic
26/07/2019 19:00,Tokyo,28.1,0,76,4.7,S,olympic
26/07/2019 20:00,Tokyo,28,0,78,3.4,SSE,olympic
26/07/2019 21:00,Tokyo,26.7,0,90,3.5,SE,olympic
26/07/2019 22:00,Tokyo,26,0.5,96,4.5,SE,olympic
26/07/2019 23:00,Tokyo,25.7,0,100,3.5,SE,olympic
27/07/2019 0:00,Tokyo,26,0,96,3.6,SE,olympic
27/07/2019 1:00,Tokyo,26.7,0,92,4.5,SSE,olympic
27/07/2019 2:00,Tokyo,27,0,91,4.3,SE,olympic
27/07/2019 3:00,Tokyo,27.3,0,88,4.5,SSE,olympic
27/07/2019 4:00,Tokyo,27.2,0,92,6,SSE,olympic
27/07/2019 5:00,Tokyo,26.6,0.5,96,5.4,SSE,olympic
