Datetime,Venue,Temperature,Rainfall,Humidity,Wind speed avg,Wind direction avg,Games
25/08/2019 1:00,Tokyo,25.6,0,88,3.6,E,paralympic
25/08/2019 2:00,Tokyo,25.1,0,91,2.4,ENE,paralympic
25/08/2019 3:00,Tokyo,22.2,15,99,2.5,NNW,paralympic
25/08/2019 4:00,Tokyo,21.3,0,98,2.8,NNE,paralympic
25/08/2019 5:00,Tokyo,21.1,0,98,2.2,NNE,paralympic
25/08/2019 6:00,Tokyo,20.9,0,97,2.3,NW,paralympic
25/08/2019 7:00,Tokyo,22.1,0,97,3.2,NW,paralympic
25/08/2019 8:00,Tokyo,23.4,0,87,2,NW,paralympic
25/08/2019 9:00,Tokyo,25.3,0,76,2.3,NNE,paralympic
25/08/2019 10:00,Tokyo,26.9,0,66,1.6,NE,paralympic
25/08/2019 11:00,Tokyo,27.9,0,64,1.9,SW,paralympic
25/08/2019 12:00,Tokyo,28.9,0,53,2.1,NNE,paralympic
25/08/2019 13:00,Tokyo,30.2,0,57,2.7,SSE,paralympic
25/08/2019 14:00,Tokyo,29.8,0,59,3.9,S,paralympic
25/08/2019 15:00,Tokyo,29.2,0,61,4.2,SSE,paralympic
25/08/2019 16:00,Tokyo,28.8,0,63,3.3,SSW,paralympic
25/08/2019 17:00,Tokyo,27.9,0,63,3.1,SSE,paralympic
25/08/2019 18:00,Tokyo,27.1,0,72,3.7,SSW,paralympic
25/08/2019 19:00,Tokyo,26.5,0,74,4.9,SSE,paralympic
25/08/2019 20:00,Tokyo,25.8,0,81,2.8,SSW,paralympic
25/08/2019 21:00,Tokyo,25.9,0,80,3.1,SSE,paralympic
25/08/2019 22:00,Tokyo,25.7,0,80,1,SSW,paralympic
25/08/2019 23:00,Tokyo,25,0,85,0.8,NE,paralympic
26/08/2019 0:00,Tokyo,25.9,0,81,1.6,ESE,paralympic
26/08/2019 1:00,Tokyo,23.9,0,85,3.3,ENE,paralympic
26/08/2019 2:00,Tokyo,23.4,0,88,2.1,NE,paralympic
26/08/2019 3:00,Tokyo,23.3,0,84,2.5,NE,paralympic
26/08/2019 4:00,Tokyo,23.1,0,87,1.5,N,paralympic
26/08/2019 5:00,Tokyo,22.9,0,85,1.8,N,paralympic
26/08/2019 6:00,Tokyo,23.2,0,88,1.3,NNW,paralympic
26/08/2019 7:00,Tokyo,23.8,0,85,1.7,NNE,paralympic
26/08/2019 8:00,Tokyo,24.3,0,78,2.3,NNE,paralympic
26/08/2019 9:00,Tokyo,24.9,0,76,3,NE,paralympic
26/08/2019 10:00,Tokyo,26.5,0,68,2.5,NNE,paralympic
26/08/2019 11:00,Tokyo,26.9,0,69,2.7,NE,paralympic
26/08/2019 12:00,Tokyo,27,0,65,2.8,E,paralympic
26/08/2019 13:00,Tokyo,27.7,0,71,2.8,ESE,paralympic
26/08/2019 14:00,Tokyo,27.6,0,65,5.2,ESE,paralympic
26/08/2019 15:00,Tokyo,27.7,0,62,5,SE,paralympic
26/08/2019 16:00,Tokyo,27.1,0,62,3.8,SE,paralympic
26/08/2019 17:00,Tokyo,26.6,0,70,1.5,SSE,paralympic
26/08/2019 18:00,Tokyo,26.4,0,65,2.8,SE,paralympic
26/08/2019 19:00,Tokyo,26.2,0,74,4,SE,paralympic
26/08/2019 20:00,Tokyo,25.9,0,67,3.1,SE,paralympic
26/08/2019 21:00,Tokyo,25.3,0,74,2.3,ESE,paralympic
26/08/2019 22:00,Tokyo,24.9,0,83,2.3,ENE,paralympic
26/08/2019 23:00,Tokyo,24,0,85,3.5,ENE,paralympic
27/08/2019 0:00,Tokyo,24,0,87,1.7,ESE,paralympic
